ROE,ROA,Leverage,Size,Growth,Y,Z1,Z21,Z22,X,ROE Norm,ROA Norm,Leverage Norm,Size Norm,Growt Norm,Y Norm,Z1 Norm,X Norm
-0.0117,-0.0073,0.6097,29.7941,-0.0205,0.7644,0.0320,3,2,0.94,-0.0895668137065677,-0.138694022265195,0.00342758396150022,0.354983879616741,-0.0785895419680644,-0.410024720547087,-0.0830172594573709,2.19623668090171
0.0056,0.0035,0.6074,29.8252,0.0316,0.6526,0.1138,4,2,0.98,-0.0779343924444424,-0.1057379178671,0.00331624470427954,0.371098318721522,-0.0626672370671288,-0.459020524898002,-0.0659648082276851,2.42905868793265
0.0916,0.0608,0.5063,29.8624,0.0379,0.6927,0.2814,4,2,0.88,-0.0201819730258421,0.0698237832573198,-0.00157784177616012,0.390356912290012,-0.0607494757557005,-0.44145814191395,-0.0309995789795809,1.88931233623577
0.0499,0.0351,0.4208,29.8801,0.0179,0.5315,0.1312,4,2,0.74,-0.048188437611906,-0.00886044741062081,-0.00571578947495322,0.399545923852815,-0.0668508883356907,-0.512132923762653,-0.0623363954467603,1.16323161226786
0.0887,0.0508,0.7452,31.1028,0.0727,0.9980,0.0364,3,1,0.58,-0.0221296648076068,0.0392260617947769,0.00998449804434445,1.03288326533192,-0.0501254445415933,-0.307618403990803,-0.0821007624844471,0.366273798870557
0.0107,0.0064,0.6652,31.0387,-0.0621,1.0680,0.1027,3,1,0.61,-0.0745091413799597,-0.096733183022268,0.00611134414424577,0.999654680678381,-0.0912901300162022,-0.276939034015167,-0.0682725939986861,0.495688233016175
0.0604,0.0362,0.6665,31.0883,0.0508,1.8654,0.1468,3,1,0.58,-0.0411431663047643,-0.00546070058144938,0.00617717953112409,1.02533625865379,-0.056797910250942,0.0726733863116442,-0.059067842851771,0.366273798870557
0.0894,0.0566,0.5797,31.1250,0.0374,2.0096,0.1490,3,1,0.68,-0.0216796808442336,0.0568373629368812,0.00197436461290677,1.04435140039396,-0.0608960562381026,0.13587341454382,-0.058610472234305,0.8798226068819
0.1611,0.1136,0.4186,31.1467,0.0219,1.7132,0.0326,3,1,0.90,0.0265357650222778,0.231510841916743,-0.00582519239726571,1.0555812634538,-0.0656263305556226,0.00591791808943702,-0.082897523082426,1.9967470725746
0.0279,0.0102,1.7263,29.2612,0.0763,1.0989,0.0391,1,1,0.40,-0.0629707466176437,-0.085094410093573,0.0574813410909614,0.0789405852509551,-0.049026090923577,-0.263374877012507,-0.0815325817195779,-0.593328409568469
-0.9750,-0.2462,2.9605,29.0509,-0.1896,0.8624,-0.3272,4,2,0.48,-0.736536294180316,-0.870435927632174,0.117223082013218,-0.0299704390554127,-0.130225570654278,-0.367043791247125,-0.157926371877205,-0.152845373484023
0.1671,0.0995,0.6796,26.8729,0.0864,1.2190,0.4544,3,1,0.47,0.0305050265499429,0.188232983631885,0.00681229738100903,-1.15815729047862,-0.0459326319928813,-0.210744720316664,0.00506864855328125,-0.196714673194402
0.3228,0.1088,1.9653,29.9176,-0.6561,2.0886,5.1471,3,1,0.71,0.13507592669503,0.216962375755874,0.0690509421673717,0.418954732379209,-0.272677369468786,0.17049840226425,0.983636866349111,1.03162402168434
0.0587,0.0203,1.8973,30.0320,0.1212,1.4021,1.6157,3,1,0.55,-0.0422849166595918,-0.0543741752317807,0.0657567524048206,0.478186044228507,-0.0353208158189743,-0.130442631170662,0.247237014174357,0.198108561377589
0.0704,-0.0862,-1.8171,27.7528,0.0057,2.5878,0.0034,3,1,0.25,-0.0344001230327239,-0.380321073934865,-0.114048886750679,-0.702389568720174,-0.0705642605565457,0.38936620258772,-0.0889827069314974,-1.38118406836276
0.3713,0.0581,5.3891,29.5853,0.3390,0.9874,4.1602,1,1,0.17,0.167656108878962,0.0615847571577962,0.234789592298629,0.246829109926026,0.0311900780710096,-0.312278616949377,0.777832337933788,-1.77600714866094
0.0604,0.0127,3.7541,26.8983,0.0372,0.9977,-0.0026,1,1,0.15,-0.0410961530548596,-0.0774679509902966,0.155639966591625,-1.14501089174897,-0.0609540776790535,-0.30773238850343,-0.0902207339796174,-1.8637456709448
0.3172,0.2255,0.4068,28.5784,0.1495,3.1217,0.3821,4,2,0.42,0.131375312309677,0.574303333016623,-0.00639592711145349,-0.274748302872676,-0.0266725673572464,0.623415863189216,-0.00999778659894278,-0.503799308345634
1.3641,-0.2084,-7.5443,27.1906,-0.2453,1.7617,0.2525,1,1,0.46,0.834438316098247,-0.75478327874072,-0.391296223407087,-0.993589034355837,-0.14721363781268,0.0272023338127453,-0.0370394295358368,-0.264205761111471
0.1822,0.1191,0.5303,28.4514,-0.0583,1.1363,0.0487,4,2,0.43,0.0406666047079081,0.248233920914289,-0.000415556747521582,-0.340521735129989,-0.0901113786368848,-0.246969875233594,-0.0795278014977623,-0.419293362273207
0.0306,0.0209,0.4646,28.4591,-0.2099,0.7887,0.0678,4,2,0.60,-0.0611506622284775,-0.0524445891936023,-0.00359743908539793,-0.336548808484741,-0.13641248851567,-0.399393472734724,-0.0755384017494159,0.429284466889648
0.0536,0.0329,0.6314,28.6076,0.1601,0.8061,0.0870,4,2,0.48,-0.0456631544741698,-0.015690569418776,0.00447514114682875,-0.259623210559607,-0.0234264204240483,-0.391752126368972,-0.0715517963215841,-0.186054815963821
0.0573,0.0363,0.5814,28.6160,0.0084,0.8462,0.1204,4,2,0.69,-0.0431848845863382,-0.00536881553201233,0.00205665884650466,-0.255277336432666,-0.0697427991030835,-0.374172207306054,-0.0645696524224143,0.900016431100812
0.0767,0.0630,0.2173,26.1111,-0.9183,2.2130,0.3705,1,1,0.17,-0.030175646719862,0.0765926485658503,-0.0155688296552568,-1.55276680506569,-0.35275001174102,0.225057527635326,-0.0124233806556567,-1.77600714866094
0.1243,0.0629,0.9770,33.4737,0.1652,1.4601,0.1841,4,2,0.57,0.00179336321530914,0.0761638516684773,0.0212060429210083,2.26096306376114,-0.0218598415183752,-0.105010932795603,-0.0513001608980978,0.281776492131312
0.0950,0.0549,0.7304,33.4547,-0.0391,1.1433,0.2484,4,2,0.66,-0.0178783237805136,0.0517836852178426,0.00926757004458865,2.25109031514857,-0.0842512131008481,-0.24392298153067,-0.0378829185748528,0.762076826389729
0.1187,0.0697,0.7036,33.5372,0.0861,1.0412,0.2551,1,1,0.68,-0.00198784531273737,0.0969605011910665,0.00797022565610415,2.29385495971593,-0.0460334060745328,-0.28866628675664,-0.0364822397456106,0.845585855122416
0.1659,0.0978,0.6958,33.6552,0.1252,0.9686,0.4163,4,2,0.69,0.0296990851230058,0.183148677563034,0.0075945766839161,2.35495618879982,-0.034084042998706,-0.320489885878266,-0.00286699243141636,0.943885422263577
0.0047,0.0042,0.1199,27.3949,0.5824,2.0602,0.0023,1,1,0.27,-0.0785589970503186,-0.10365519007986,-0.0202847733241433,-0.887780725904101,0.105527758969259,0.158043402249849,-0.0892167279064159,-1.24957632350543
0.1032,0.0493,1.0953,30.7356,0.0166,0.6637,2.2949,1,1,0.27,-0.012377773541668,0.0344786675738618,0.0269317852445138,0.842638611059863,-0.0672356621019964,-0.454163031052189,0.388869356678281,-1.24957632350543
0.0015,0.0005,1.9417,29.6146,0.2050,1.0403,0.0997,4,2,0.36,-0.0806813094745863,-0.11483453776137,0.0679056000691798,0.261980101369769,-0.00971809155939555,-0.289060848531119,-0.0688892725429301,-0.767014643786488
0.8876,0.0341,25.0711,29.0702,0.0246,1.1769,0.1556,3,2,0.34,0.514459421068549,-0.0121070524907305,1.18756269978773,-0.0200096333985521,-0.0647987615820604,-0.229197059303153,-0.0572462178612438,-0.898622388643818
0.0542,0.0385,0.4107,30.3967,0.0764,0.7370,0.2076,4,2,0.59,-0.0452601837607012,0.00136942142670583,-0.00620616629045127,0.667109842836239,-0.0489955533230766,-0.422028166530695,-0.0463981170435164,0.420196505476865
0.0701,0.0510,0.3747,30.4046,0.0079,0.6457,0.0195,1,1,0.58,-0.0345948922109004,0.039838628791024,-0.0079498358752726,0.671201905482583,-0.0698954871055858,-0.462054266541778,-0.0856217742468256,0.352358301494427
-0.0034,-0.0025,0.3469,30.3510,-0.0522,0.6115,0.1310,3,2,0.91,-0.0839453722536815,-0.124023042705077,-0.00929704088764289,0.643448397053328,-0.0882485850063573,-0.477038845932564,-0.0623613371976147,2.04287771774551
0.0536,0.0375,0.4307,30.4611,0.1164,0.6295,0.0397,1,1,0.50,-0.045690019188401,-0.00163215685490497,-0.0052394510875395,0.70048346262155,-0.0367682980826957,-0.469165146521841,-0.0814169539600603,-0.0651069283370716
0.1130,0.0796,0.4191,30.5499,0.0929,0.6753,0.1735,4,3,0.42,-0.00582278326924634,0.127405080904548,-0.00580050412718634,0.74649067834918,-0.043953795480452,-0.449108256319135,-0.0535060327708767,-0.459930008635255
0.1463,0.1298,0.1271,30.0098,-0.0075,3.7294,0.1711,4,2,0.59,0.0165353751497001,0.281036883563322,-0.0199333285383076,0.466728268818743,-0.0746104926228555,0.889832741357176,-0.0540105926967717,0.41745475138187
-0.9379,-0.1413,5.6371,27.3182,0.0071,1.1545,-0.1193,4,2,0.42,-0.711565542302381,-0.54917516645038,0.246796320980562,-0.927520352008851,-0.0701428416696394,-0.238995343369393,-0.114569983176666,-0.503799308345634
0.0868,0.0408,1.1267,29.2791,0.0391,1.1695,0.1144,4,2,0.55,-0.0233990225550327,0.00859771198242167,0.0284527763148937,0.088217653858047,-0.0603738632695449,-0.232419313794736,-0.0658360835762515,0.198108561377589
-0.0288,-0.0274,0.0511,25.6318,-0.0296,0.5129,-0.1926,3,1,0.31,-0.101038046683306,-0.200348890437466,-0.0236118807801336,-1.80104623134995,-0.0813684636136055,-0.520300352494378,-0.12985444595478,-1.03023013350115
-0.3319,-0.1466,1.2644,27.3082,0.1093,1.4920,0.0763,3,2,0.33,-0.304585270234825,-0.565285678451679,0.0351190933200505,-0.932694998317328,-0.0389456289983779,-0.0910522140184635,-0.0737778284547737,-0.942491688354197
0.0332,0.0263,0.2636,26.2255,1.6273,1.1873,0.1069,3,2,0.35,-0.0593977396248893,-0.0359359086447428,-0.0133270379153046,-1.49351995373799,0.424605985318329,-0.224624526738908,-0.0674005361123497,-0.854753243207246
0.0269,0.0204,0.3226,27.0055,0.1143,1.3851,0.0627,4,3,0.40,-0.0636087835806356,-0.0540372633838448,-0.0104714280094576,-1.08945725645525,-0.0374004264130551,-0.13791738478719,-0.0766023263371299,-0.591537753492585
0.1593,0.1505,0.0583,27.4287,0.1215,4.0824,0.4082,1,1,0.27,0.0252731234534097,0.344529452724334,-0.0232647927478413,-0.870278093395244,-0.0352078266971226,1.04459784378886,-0.00456116032060161,-1.24957632350543
0.0171,0.0085,1.0111,26.9882,0.0025,2.5435,0.3010,4,3,0.52,-0.0702242194600775,-0.0903931146111105,0.022860157016326,-1.09845461445107,-0.0715567325728103,0.369953763283331,-0.0269239267438678,0.0226316710836865
